Timestamp,Current,MVoltage,Sl1Voltage,Sl2Voltage,Sl3Voltage,Sl4Voltage
1481185777.7,0.00834274291992,-1.953125e-06,3.8167421875,3.79124414062,3.90625e-06,-1.0
1481185779.11,0.00109481811523,3.76698046875,3.83916210938,3.81283984375,1.35565039062,-1.0
1481185780.11,-0.00901412963867,3.76700976563,3.83915820313,3.81284765625,1.35010742187,-1.0
1481185781.11,0.00624465942383,3.767078125,3.83915820313,3.81284570313,1.35612890625,-1.0
1481185782.14,0.00490951538086,3.7671328125,3.83916210938,3.81284570313,1.35973828125,-1.0
1481185783.36,-0.0219841003418,3.76719726563,3.83916601563,3.81284375,1.36468945313,-1.0
1481185784.35,0.0272254943848,3.76724414062,3.83916210938,3.81284960938,1.36680859375,-1.0
1481185785.36,0.00433731079102,3.76728515625,3.83915625,3.81284375,1.36698632813,-1.0
1481185786.35,0.0134925842285,3.7673359375,3.83915820313,3.81284375,1.36305664062,-1.0
1481185787.44,0.0142555236816,3.76737890625,3.83915234375,3.81284179687,1.3716328125,-1.0
1481185788.47,-0.00634384155273,3.76741796875,3.83915234375,3.81284570313,1.363140625,-1.0
1481185789.75,-0.0103492736816,3.76747851563,3.83915820313,3.81283007813,1.35715234375,-1.0
1481185790.76,0.00700759887695,3.76751367188,3.83915429687,3.81284375,1.36005664063,-1.0
1481185791.75,-0.00825119018555,3.7675703125,3.83916210938,3.81283398438,1.36568359375,-1.0
1481185792.76,-0.0067253112793,3.76759179688,3.8391640625,3.81284179687,1.3700546875,-1.0
1481185793.72,0.0133018493652,3.76763476562,3.83915625,3.81284179687,1.37511523437,-1.0
1481185794.97,-0.023509979248,3.767671875,3.83916601563,3.81283984375,1.36748632813,-1.0
1481185795.97,-0.00119400024414,3.767734375,3.83915820313,3.81283984375,1.36647265625,-1.0
1481185796.97,0.00586318969727,3.76776367188,3.83915234375,3.8128359375,1.37503710938,-1.0
1481185798.03,0.00929641723633,3.7678046875,3.83915820313,3.81283398438,1.36547265625,-1.0
1481185799.03,0.0121574401855,3.76784375,3.83915429687,3.81282421875,1.36595117187,-1.0
1481185800.38,-0.0122566223145,3.76786914063,3.83915625,3.81283789063,1.36808007812,-1.0
1481185801.38,-0.000240325927734,3.76792773438,3.83915234375,3.81284570313,1.37134960937,-1.0
1481185802.38,0.00700759887695,3.76796875,3.83915429687,3.81283789063,1.37021289062,-1.0
1481185803.38,-0.000621795654297,3.767984375,3.83915039062,3.81283203125,1.3601640625,-1.0
1481185804.32,0.00338363647461,3.76802734375,3.83915039062,3.81283984375,1.373453125,-1.0
1481185805.32,-0.00214767456055,3.7680625,3.83915820313,3.8128359375,1.37200976563,-1.0
1481185806.32,-0.00786972045898,3.76812304687,3.83915234375,3.8128359375,1.355890625,-1.0
1481185807.35,0.00681686401367,3.76812304687,3.83915820313,3.81283789063,1.36700585938,-1.0
1481185808.45,0.0110130310059,3.7681796875,3.8391484375,3.8128359375,1.36927539062,-1.0
1481185809.38,-0.00233840942383,3.76818164062,3.83915820313,3.81284179687,1.36281445312,-1.0
1481185810.38,-0.0103492736816,3.768234375,3.8391484375,3.81283007813,1.3679765625,-1.0
1481185811.42,0.00510025024414,3.76825585937,3.83915820313,3.812828125,1.35454296875,-1.0
1481185812.39,0.0014762878418,3.76829101563,3.83915234375,3.81283398438,1.36308007813,-1.0
1481185813.4,0.00681686401367,3.76833984375,3.8391484375,3.81282617188,1.36233984375,-1.0
1481185814.55,0.00529098510742,3.76836328125,3.83915234375,3.81283203125,1.36044921875,-1.0
1481185815.5,-0.00748825073242,3.7684140625,3.83915039062,3.81283007813,1.3590078125,-1.0
1481185816.5,0.00395584106445,3.76842578125,3.83914648438,3.8128203125,1.35513867188,-1.0
1481185817.56,-0.00386428833008,3.76846289062,3.83915429687,3.81283398438,1.35628320313,-1.0
1481185818.57,-0.00500869750977,3.76849609375,3.83915234375,3.81282421875,1.37035351562,-1.0
1481185819.94,-0.0145454406738,3.76852929688,3.83915234375,3.81283007813,1.36675390625,-1.0
1481185820.89,-0.0015754699707,3.76857421875,3.8391484375,3.81283203125,1.37033984375,-1.0
1481185821.95,-0.00939559936523,3.768609375,3.83915234375,3.81282226562,1.36503710938,-1.0
1481185822.89,-0.0221748352051,3.768625,3.83915234375,3.812828125,1.36836523438,-1.0
1481185823.89,-0.0015754699707,3.76866015625,3.83914648438,3.81283203125,1.3711796875,-1.0
1481185825.14,-0.0076789855957,3.7686875,3.83915625,3.81283007813,1.37291210938,-1.0
1481185826.14,0.00166702270508,3.76872460937,3.83914648438,3.812828125,1.365765625,-1.0
1481185827.16,0.00529098510742,3.76877734375,3.83914648438,3.81282421875,1.37408789063,-1.0
1481185828.21,-0.00996780395508,3.76878710938,3.83914257813,3.81283007813,1.35989648438,-1.0
1481185829.21,0.00662612915039,3.76883203125,3.83915234375,3.81281835938,1.37445703125,-1.0
1481185830.62,-0.000240325927734,3.768859375,3.83914648438,3.81282226562,1.36721484375,-1.0
1481185831.59,-0.0288505554199,3.76887304688,3.83914257813,3.81281835938,1.369640625,-1.0
1481185832.59,0.00262069702148,3.76889648437,3.83914648438,3.81282421875,1.36734960937,-1.0
1481185833.59,0.0129203796387,3.76892382813,3.83915234375,3.812828125,1.38168554688,-1.0
1481185834.59,0.00662612915039,3.7689609375,3.839140625,3.81283398438,1.3555390625,-1.0
1481185835.84,-0.00271987915039,3.76900976562,3.83915039062,3.81283203125,1.37197265625,-1.0
1481185836.84,-0.017406463623,3.76901757813,3.83914648438,3.81282226562,1.370546875,-1.0
