1506076421.210000,29.752151,3.310389,3.307682,3.306197,3.379998,3.386590,3.493813,3.489143,3.455723,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1506076422.230000,29.789917,3.310406,3.307701,3.306213,3.380004,3.386596,3.493711,3.489170,3.455730,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1506076423.220000,29.778473,3.310387,3.307701,3.306229,3.380018,3.386615,3.493764,3.489217,3.455746,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1506076424.230000,29.744141,3.310398,3.307727,3.306246,3.380045,3.386625,3.493916,3.489215,3.455762,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1506076425.260000,29.814331,3.310437,3.307730,3.306262,3.380053,3.386643,3.493885,3.489182,3.455771,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1506076426.240000,29.767792,3.310428,3.307750,3.306268,3.380064,3.386648,3.493891,3.489064,3.455783,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1506076427.250000,29.786102,3.310445,3.307762,3.306277,3.380090,3.386658,3.493748,3.489084,3.455807,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1506076428.260000,29.790298,3.310471,3.307777,3.306293,3.380107,3.386689,3.493912,3.489156,3.455814,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1506076429.290000,29.763596,3.310467,3.307783,3.306314,3.380111,3.386699,3.493809,3.489104,3.455824,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1506076430.280000,29.761688,3.310498,3.307814,3.306328,3.380145,3.386711,3.493900,3.489088,3.455844,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
